particle_id,final_energy_MeV,scattering_angle_deg,backscattered,dir_x,dir_y,dir_z,total_areal_density
1,5.1144,6.31,0,0.993946,0.047018,-0.099301,1.32e+019
2,5.0975,1.89,0,0.999453,0.022891,-0.023849,1.32e+019
3,5.1090,3.94,0,0.997635,0.013587,-0.067375,1.32e+019
4,5.1331,5.54,0,0.995337,-0.095835,0.010928,1.32e+019
5,5.1262,5.85,0,0.994799,0.028300,0.097847,1.32e+019
6,5.1207,2.89,0,0.998729,0.050383,-0.001089,1.32e+019
7,5.1412,2.64,0,0.998941,-0.040858,0.021175,1.32e+019
8,5.1383,5.94,0,0.994633,-0.097637,0.034241,1.32e+019
9,5.1373,6.05,0,0.994432,0.104211,0.015639,1.32e+019
10,5.1213,1.00,0,0.999846,-0.017080,0.003944,1.32e+019
11,5.1847,4.63,0,0.996741,-0.015919,-0.079083,1.32e+019
12,5.1440,4.65,0,0.996705,0.033990,0.073645,1.32e+019
13,5.1404,2.63,0,0.998944,-0.034553,-0.030282,1.32e+019
14,5.1283,4.05,0,0.997505,-0.046535,-0.053092,1.32e+019
15,5.1647,1.86,0,0.999472,0.022019,-0.023907,1.32e+019
16,5.1196,4.73,0,0.996597,-0.081020,-0.015201,1.32e+019
17,5.1537,1.73,0,0.999542,-0.025868,-0.015700,1.32e+019
18,5.1515,6.12,0,0.994294,-0.104772,0.020073,1.32e+019
19,5.1303,1.86,0,0.999474,0.005651,0.031935,1.32e+019
20,5.1384,5.41,0,0.995552,0.071221,0.061670,1.32e+019
21,5.1313,3.86,0,0.997734,-0.035701,0.057026,1.32e+019
22,5.1250,5.27,0,0.995776,0.087365,0.028228,1.32e+019
23,5.1337,6.06,0,0.994419,-0.049856,-0.092982,1.32e+019
24,5.1344,5.73,0,0.995010,-0.044673,-0.089216,1.32e+019
25,5.1542,1.39,0,0.999707,0.017716,-0.016487,1.32e+019
26,5.1117,0.48,0,0.999964,0.004466,0.007177,1.32e+019
27,5.1037,2.83,0,0.998784,0.049144,0.003819,1.32e+019
28,5.1182,0.72,0,0.999922,-0.000645,-0.012494,1.32e+019
29,5.0870,4.33,0,0.997144,0.069984,0.028380,1.32e+019
30,5.1697,5.26,0,0.995787,0.091608,-0.003994,1.32e+019
31,5.1499,5.91,0,0.994681,0.102994,0.001318,1.32e+019
32,5.1200,2.07,0,0.999345,0.033710,-0.013178,1.32e+019
33,5.1521,4.47,0,0.996955,-0.045749,0.063149,1.32e+019
34,5.1331,3.19,0,0.998450,-0.022978,-0.050691,1.32e+019
35,5.1188,4.39,0,0.997069,0.074671,-0.016687,1.32e+019
36,5.0971,3.50,0,0.998132,0.058374,-0.018024,1.32e+019
37,5.1386,4.32,0,0.997164,-0.067726,0.032830,1.32e+019
38,5.1352,3.15,0,0.998490,-0.000180,-0.054926,1.32e+019
39,5.1111,2.90,0,0.998718,0.050521,0.003018,1.32e+019
40,5.1652,4.76,0,0.996548,0.003378,-0.082954,1.32e+019
41,5.1263,5.67,0,0.995107,0.039457,0.090583,1.32e+019
42,5.0971,5.15,0,0.995958,-0.066023,-0.060906,1.32e+019
43,5.1594,9.06,0,0.987520,0.058647,-0.146167,1.32e+019
44,5.1090,5.13,0,0.995997,0.071035,0.054252,1.32e+019
45,5.1158,10.12,0,0.984434,-0.085611,-0.153491,1.32e+019
46,5.1445,2.63,0,0.998946,0.036387,0.027966,1.32e+019
47,5.1636,2.96,0,0.998667,0.041483,-0.030719,1.32e+019
48,5.1772,4.62,0,0.996751,-0.005153,0.080380,1.32e+019
49,5.1812,2.08,0,0.999341,0.005789,-0.035847,1.32e+019
50,5.1176,2.79,0,0.998818,-0.010028,-0.047557,1.32e+019
51,5.1039,9.34,0,0.986735,0.162337,-0.000787,1.32e+019
52,5.1280,7.69,0,0.991000,0.133636,0.007705,1.32e+019
53,5.1030,6.57,0,0.993428,0.103613,-0.048631,1.32e+019
54,5.1451,3.78,0,0.997826,-0.045195,-0.047967,1.32e+019
55,5.1615,2.61,0,0.998966,-0.010515,-0.044227,1.32e+019
56,5.1187,2.68,0,0.998909,0.043767,-0.016313,1.32e+019
57,5.1508,1.37,0,0.999712,-0.004763,-0.023507,1.32e+019
58,5.1599,1.07,0,0.999826,0.016065,-0.009467,1.32e+019
59,5.1619,2.24,0,0.999235,-0.037173,0.012155,1.32e+019
60,5.1453,2.65,0,0.998934,0.002970,-0.046075,1.32e+019
61,5.1121,5.39,0,0.995576,-0.086693,-0.036244,1.32e+019
62,5.1327,3.28,0,0.998361,0.056747,-0.007400,1.32e+019
63,5.1220,5.71,0,0.995043,0.060969,-0.078568,1.32e+019
64,5.1635,1.21,0,0.999777,-0.000385,0.021117,1.32e+019
65,5.1485,7.77,0,0.990820,0.120424,-0.061430,1.32e+019
66,5.1268,1.62,0,0.999600,-0.010550,0.026245,1.32e+019
67,5.1419,1.96,0,0.999413,0.020222,-0.027641,1.32e+019
68,5.1289,3.39,0,0.998247,0.025712,0.053310,1.32e+019
69,5.1378,2.15,0,0.999298,-0.027801,-0.025112,1.32e+019
70,5.1465,1.57,0,0.999626,-0.011840,0.024666,1.32e+019
71,5.1254,2.65,0,0.998929,0.043836,-0.014809,1.32e+019
72,5.1691,5.57,0,0.995274,-0.017107,-0.095592,1.32e+019
73,5.1199,3.66,0,0.997963,0.029882,0.056359,1.32e+019
74,5.1143,4.67,0,0.996680,-0.012765,-0.080414,1.32e+019
75,5.1333,3.25,0,0.998397,-0.053705,0.017893,1.32e+019
76,5.1087,1.81,0,0.999500,0.030909,0.006632,1.32e+019
77,5.1324,1.59,0,0.999616,0.027636,-0.001875,1.32e+019
78,5.1353,7.78,0,0.990799,0.120420,-0.061782,1.32e+019
79,5.1579,1.55,0,0.999635,-0.017194,0.020816,1.32e+019
80,5.1447,2.58,0,0.998990,-0.004929,-0.044665,1.32e+019
81,5.1246,2.07,0,0.999345,0.031190,0.018336,1.32e+019
82,5.1476,2.51,0,0.999041,-0.042019,0.012303,1.32e+019
83,5.1533,2.20,0,0.999262,0.033548,-0.018682,1.32e+019
84,5.0957,4.65,0,0.996704,0.007888,0.080744,1.32e+019
85,5.1636,1.07,0,0.999825,0.012440,-0.013965,1.32e+019
86,5.1502,1.78,0,0.999515,0.009399,-0.029693,1.32e+019
87,5.1352,4.16,0,0.997362,-0.028672,-0.066683,1.32e+019
88,5.1342,1.34,0,0.999727,-0.001258,0.023348,1.32e+019
89,5.1144,4.71,0,0.996630,0.001874,0.082006,1.32e+019
90,5.1138,1.19,0,0.999783,-0.000407,0.020834,1.32e+019
91,5.1525,1.53,0,0.999644,0.010272,0.024645,1.32e+019
92,5.1544,4.96,0,0.996250,-0.002664,0.086486,1.32e+019
93,5.1410,12.13,0,0.977662,0.158557,0.137974,1.32e+019
94,5.1206,6.33,0,0.993906,-0.078210,0.077675,1.32e+019
95,5.1242,3.16,0,0.998479,-0.044249,-0.032901,1.32e+019
96,5.1235,3.41,0,0.998230,0.037221,-0.046380,1.32e+019
97,5.1681,26.17,0,0.897500,0.216174,0.384398,1.32e+019
98,5.1178,3.07,0,0.998561,-0.007541,0.053086,1.32e+019
99,5.1307,9.20,0,0.987127,0.060845,-0.147913,1.32e+019
100,5.0983,3.69,0,0.997930,0.038307,0.051650,1.32e+019
101,5.1087,8.91,0,0.987927,-0.057551,0.143836,1.32e+019
102,5.1505,2.76,0,0.998843,-0.011475,0.046696,1.32e+019
103,5.1255,3.85,0,0.997744,0.050471,0.044260,1.32e+019
104,5.1306,5.65,0,0.995138,0.067189,0.072009,1.32e+019
