ID,Material,Atomic Number Z,Density (g/cm^3),Atomic Mass(g/mol),a0,a1,a2,a3,a4
1,H,1,,,,,,,
2,He,2,,,,,,,
3,Li,3,,,,,,,
4,Be,4,,,,,,,
5,B,5,,,,,,,
6,C,6,2.26,12.01,15.95,69.35,-76.59,33.79,-6.859
7,N,7,,,,,,,
8,O,8,1.43,15.999,25.9,73.3,-80.5,34.76,-7.127
9,F,9,,,,,,,
10,Ne,10,,,,,,,
11,Na,11,,,,,,,
12,Mg,12,,,,,,,
13,Al,13,2.7,26.98,55.94,0.6773,-4.752,0.3401,0.2662
14,Si,14,2.33,28.09,57.97,56.59,-77.66,36.41,-7.624
15,P,15,,,,,,,
16,S,16,,,,,,,
17,Cl,17,,,,,,,
18,Ar,18,,,,,,,
19,K,19,,,,,,,
20,Ca,20,,,,,,,
21,Sc,21,,,,,,,
22,Ti,22,,,,,,,
23,V,23,,,,,,,
24,Cr,24,,,,,,,
25,Mn,25,,,,,,,
26,Fe,26,,,,,,,
27,Co,27,,,,,,,
28,Ni,28,,,,,,,
29,Cu,29,,,,,,,
30,Zn,30,,,,,,,
31,Ga,31,,,,,,,
32,Ge,32,5.32,72.63,58.71,73.52,-75.13,30.36,-5.739
33,As,33,,,,,,,
34,Se,34,,,,,,,
35,Br,35,,,,,,,
36,Kr,36,,,,,,,
37,Rb,37,,,,,,,
38,Sr,38,,,,,,,
39,Y,39,,,,,,,
40,Zr,40,,,,,,,
41,Nb,41,,,,,,,
42,Mo,42,,,,,,,
43,Tc,43,,,,,,,
44,Ru,44,,,,,,,
45,Rh,45,,,,,,,
46,Pd,46,,,,,,,
47,Ag,47,,,,,,,
48,Cd,48,,,,,,,
49,In,49,,,,,,,
50,Sn,50,,,,,,,
51,Sb,51,,,,,,,
52,Te,52,,,,,,,
53,I,53,,,,,,,
54,Xe,54,,,,,,,
55,Cs,55,,,,,,,
56,Ba,56,,,,,,,
57,La,57,,,,,,,
58,Ce,58,,,,,,,
59,Pr,59,,,,,,,
60,Nd,60,,,,,,,
61,Pm,61,,,,,,,
62,Sm,62,,,,,,,
63,Eu,63,,,,,,,
64,Gd,64,,,,,,,
65,Tb,65,,,,,,,
66,Dy,66,,,,,,,
67,Ho,67,,,,,,,
68,Er,68,,,,,,,
69,Tm,69,,,,,,,
70,Yb,70,,,,,,,
71,Lu,71,,,,,,,
72,Hf,72,,,,,,,
73,Ta,73,,,,,,,
74,W,74,,,,,,,
75,Re,75,,,,,,,
76,Os,76,,,,,,,
77,Ir,77,,,,,,,
78,Pt,78,21.45,195.08,48.78,198.6,-181.1,73.5,-14.38
79,Au,79,19.32,196.96657,57.99,193.2,-185.4,77.98,-15.59
80,Hg,80,,,,,,,
81,Tl,81,,,,,,,
82,Pb,82,,,,,,,
83,Bi,83,,,,,,,
84,Po,84,,,,,,,
85,At,85,,,,,,,
86,Rn,86,,,,,,,
87,Fr,87,,,,,,,
88,Ra,88,,,,,,,
89,Ac,89,,,,,,,
90,Th,90,,,,,,,
91,Pa,91,,,,,,,
92,U,92,,,,,,,
