Z,particle_id,thickness_cm,N_layers,seed,unused,energy_MeV,N_particles
79,1,4e-05,100,1,0,1.540000e+00,1000000
79,1,4e-05,100,2,0,1.540000e+00,1000000
79,1,4e-05,100,3,0,1.540000e+00,1000000
79,1,4e-05,100,4,0,1.540000e+00,1000000
79,1,4e-05,100,5,0,1.540000e+00,1000000
79,1,4e-05,100,6,0,1.540000e+00,1000000
79,1,4e-05,100,7,0,1.540000e+00,1000000
79,1,4e-05,100,8,0,1.540000e+00,1000000
79,1,4e-05,100,9,0,1.540000e+00,1000000
79,1,4e-05,100,10,0,1.540000e+00,1000000
79,1,4e-05,100,1,0,3.300000e+00,1000000
79,1,4e-05,100,2,0,3.300000e+00,1000000
79,1,4e-05,100,3,0,3.300000e+00,1000000
79,1,4e-05,100,4,0,3.300000e+00,1000000
79,1,4e-05,100,5,0,3.300000e+00,1000000
79,1,4e-05,100,6,0,3.300000e+00,1000000
79,1,4e-05,100,7,0,3.300000e+00,1000000
79,1,4e-05,100,8,0,3.300000e+00,1000000
79,1,4e-05,100,9,0,3.300000e+00,1000000
79,1,4e-05,100,10,0,3.300000e+00,1000000
79,1,4e-05,100,1,0,2.200000e+00,1000000
79,1,4e-05,100,2,0,2.200000e+00,1000000
79,1,4e-05,100,3,0,2.200000e+00,1000000
79,1,4e-05,100,4,0,2.200000e+00,1000000
79,1,4e-05,100,5,0,2.200000e+00,1000000
79,1,4e-05,100,6,0,2.200000e+00,1000000
79,1,4e-05,100,7,0,2.200000e+00,1000000
79,1,4e-05,100,8,0,2.200000e+00,1000000
79,1,4e-05,100,9,0,2.200000e+00,1000000
79,1,4e-05,100,10,0,2.200000e+00,1000000
79,1,4e-05,100,1,0,2.720000e+00,1000000
79,1,4e-05,100,2,0,2.720000e+00,1000000
79,1,4e-05,100,3,0,2.720000e+00,1000000
79,1,4e-05,100,4,0,2.720000e+00,1000000
79,1,4e-05,100,5,0,2.720000e+00,1000000
79,1,4e-05,100,6,0,2.720000e+00,1000000
79,1,4e-05,100,7,0,2.720000e+00,1000000
79,1,4e-05,100,8,0,2.720000e+00,1000000
79,1,4e-05,100,9,0,2.720000e+00,1000000
79,1,4e-05,100,10,0,2.720000e+00,1000000
79,1,4e-05,100,1,0,4.000000e+00,1000000
79,1,4e-05,100,2,0,4.000000e+00,1000000
79,1,4e-05,100,3,0,4.000000e+00,1000000
79,1,4e-05,100,4,0,4.000000e+00,1000000
79,1,4e-05,100,5,0,4.000000e+00,1000000
79,1,4e-05,100,6,0,4.000000e+00,1000000
79,1,4e-05,100,7,0,4.000000e+00,1000000
79,1,4e-05,100,8,0,4.000000e+00,1000000
79,1,4e-05,100,9,0,4.000000e+00,1000000
79,1,4e-05,100,10,0,4.000000e+00,1000000
79,1,0.0003,200,1,0,1.540000e+00,1000000
79,1,0.0003,200,2,0,1.540000e+00,1000000
79,1,0.0003,200,3,0,1.540000e+00,1000000
79,1,0.0003,200,4,0,1.540000e+00,1000000
79,1,0.0003,200,5,0,1.540000e+00,1000000
79,1,0.0003,200,6,0,1.540000e+00,1000000
79,1,0.0003,200,7,0,1.540000e+00,1000000
79,1,0.0003,200,8,0,1.540000e+00,1000000
79,1,0.0003,200,9,0,1.540000e+00,1000000
79,1,0.0003,200,10,0,1.540000e+00,1000000
79,1,0.0003,200,1,0,3.300000e+00,1000000
79,1,0.0003,200,2,0,3.300000e+00,1000000
79,1,0.0003,200,3,0,3.300000e+00,1000000
79,1,0.0003,200,4,0,3.300000e+00,1000000
79,1,0.0003,200,5,0,3.300000e+00,1000000
79,1,0.0003,200,6,0,3.300000e+00,1000000
79,1,0.0003,200,7,0,3.300000e+00,1000000
79,1,0.0003,200,8,0,3.300000e+00,1000000
79,1,0.0003,200,9,0,3.300000e+00,1000000
79,1,0.0003,200,10,0,3.300000e+00,1000000
79,1,0.0003,200,1,0,2.200000e+00,1000000
79,1,0.0003,200,2,0,2.200000e+00,1000000
79,1,0.0003,200,3,0,2.200000e+00,1000000
79,1,0.0003,200,4,0,2.200000e+00,1000000
79,1,0.0003,200,5,0,2.200000e+00,1000000
79,1,0.0003,200,6,0,2.200000e+00,1000000
79,1,0.0003,200,7,0,2.200000e+00,1000000
79,1,0.0003,200,8,0,2.200000e+00,1000000
79,1,0.0003,200,9,0,2.200000e+00,1000000
79,1,0.0003,200,10,0,2.200000e+00,1000000
79,1,0.0003,200,1,0,2.720000e+00,1000000
79,1,0.0003,200,2,0,2.720000e+00,1000000
79,1,0.0003,200,3,0,2.720000e+00,1000000
79,1,0.0003,200,4,0,2.720000e+00,1000000
79,1,0.0003,200,5,0,2.720000e+00,1000000
79,1,0.0003,200,6,0,2.720000e+00,1000000
79,1,0.0003,200,7,0,2.720000e+00,1000000
79,1,0.0003,200,8,0,2.720000e+00,1000000
79,1,0.0003,200,9,0,2.720000e+00,1000000
79,1,0.0003,200,10,0,2.720000e+00,1000000
79,1,0.0003,200,1,0,4.000000e+00,1000000
79,1,0.0003,200,2,0,4.000000e+00,1000000
79,1,0.0003,200,3,0,4.000000e+00,1000000
79,1,0.0003,200,4,0,4.000000e+00,1000000
79,1,0.0003,200,5,0,4.000000e+00,1000000
79,1,0.0003,200,6,0,4.000000e+00,1000000
79,1,0.0003,200,7,0,4.000000e+00,1000000
79,1,0.0003,200,8,0,4.000000e+00,1000000
79,1,0.0003,200,9,0,4.000000e+00,1000000
79,1,0.0003,200,10,0,4.000000e+00,1000000
79,1,8e-05,100,1,0,1.540000e+00,1000000
79,1,8e-05,100,2,0,1.540000e+00,1000000
79,1,8e-05,100,3,0,1.540000e+00,1000000
79,1,8e-05,100,4,0,1.540000e+00,1000000
79,1,8e-05,100,5,0,1.540000e+00,1000000
79,1,8e-05,100,6,0,1.540000e+00,1000000
79,1,8e-05,100,7,0,1.540000e+00,1000000
79,1,8e-05,100,8,0,1.540000e+00,1000000
79,1,8e-05,100,9,0,1.540000e+00,1000000
79,1,8e-05,100,10,0,1.540000e+00,1000000
79,1,8e-05,100,1,0,3.300000e+00,1000000
79,1,8e-05,100,2,0,3.300000e+00,1000000
79,1,8e-05,100,3,0,3.300000e+00,1000000
79,1,8e-05,100,4,0,3.300000e+00,1000000
79,1,8e-05,100,5,0,3.300000e+00,1000000
79,1,8e-05,100,6,0,3.300000e+00,1000000
79,1,8e-05,100,7,0,3.300000e+00,1000000
79,1,8e-05,100,8,0,3.300000e+00,1000000
79,1,8e-05,100,9,0,3.300000e+00,1000000
79,1,8e-05,100,10,0,3.300000e+00,1000000
79,1,8e-05,100,1,0,2.200000e+00,1000000
79,1,8e-05,100,2,0,2.200000e+00,1000000
79,1,8e-05,100,3,0,2.200000e+00,1000000
79,1,8e-05,100,4,0,2.200000e+00,1000000
79,1,8e-05,100,5,0,2.200000e+00,1000000
79,1,8e-05,100,6,0,2.200000e+00,1000000
79,1,8e-05,100,7,0,2.200000e+00,1000000
79,1,8e-05,100,8,0,2.200000e+00,1000000
79,1,8e-05,100,9,0,2.200000e+00,1000000
79,1,8e-05,100,10,0,2.200000e+00,1000000
79,1,8e-05,100,1,0,2.720000e+00,1000000
79,1,8e-05,100,2,0,2.720000e+00,1000000
79,1,8e-05,100,3,0,2.720000e+00,1000000
79,1,8e-05,100,4,0,2.720000e+00,1000000
79,1,8e-05,100,5,0,2.720000e+00,1000000
79,1,8e-05,100,6,0,2.720000e+00,1000000
