Z,density,A,n_atom,thickness_cm,N_layers,E0_MeV,N_particles,mean_final_energy_MeV,std_final_energy_MeV,mean_angle_deg,std_angle_deg,backscatter_prob,energy_loss_MeV,thickness_A,folder
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3721,1.3784,1.576404e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed1
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3733,1.38,1.560957e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed10
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3734,1.3794,1.577511e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed2
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3731,1.3797,1.574768e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed3
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3733,1.3803,1.57263e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed4
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3743,1.3828,1.580304e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed5
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3741,1.3834,1.584174e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed6
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3748,1.3827,1.56298e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed7
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3747,1.3804,1.549655e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed8
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3738,1.3803,1.551354e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E1.54MeV_seed9
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.372,1.3779,1.569073e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E2.20MeV_seed1
13,2.7,26.98,6.03e+22,0.0001,200,2.2,1000000,1.9303,0.009,0.3735,1.3801,1.553695e-05,0.2697000000000003,10000.0,Result_Z13_T1.00e-4_N1000000_E2.20MeV_seed10
